no,class,id,name,oYear,hq,aDivision,aUnit,latitude,longitude
1,Campus,Camp001,가천대_글로벌캠퍼스,2012,소재,수도권,성남시,37.450806,127.129418
2,Campus,Camp002,가톨릭대_성심교정,1955,소재,수도권,부천시,37.486962,126.803000
3,Campus,Camp003,강남대_본교,1980,소재,수도권,용인시,37.275930,127.132419
4,Campus,Camp004,강원대_춘천캠퍼스,1947,소재,강원권,춘천시,37.869065,127.745044
5,Campus,Camp005,건국대_서울캠퍼스,1956,소재,수도권,서울,37.542429,127.075959
6,Campus,Camp006,경기대_수원캠퍼스,1979,소재,수도권,수원시,37.300537,127.035827
7,Campus,Camp007,경북대_대구캠퍼스,1952,소재,영남권,대구,35.888914,128.610300
8,Campus,Camp008,경상국립대_가좌캠퍼스,1983,소재,영남권,진주시,35.153053,128.101068
9,Campus,Camp009,경성대_본교,1973,소재,영남권,부산,35.139859,129.098518
10,Campus,Camp010,경희대_국제캠퍼스,1979,부재,수도권,용인시,37.243021,127.080085
11,Campus,Camp011,계명대_성서캠퍼스,1982,소재,영남권,대구,35.855979,128.488906
12,Campus,Camp012,고려대_서울캠퍼스,1934,소재,수도권,서울,37.589439,127.032477
13,Campus,Camp013,고려대_세종캠퍼스,1980,부재,충청권,세종,36.610931,127.286457
14,Campus,Camp014,국립강릉원주대_강릉캠퍼스,1980,소재,강원권,강릉시,37.770173,128.869085
15,Campus,Camp015,국립공주대_공주캠퍼스,1969,소재,충청권,공주시,36.469050,127.140780
16,Campus,Camp016,국립군산대_미룡캠퍼스,1983,소재,호남권,군산시,35.947083,126.681475
17,Campus,Camp017,국립목포대_도림캠퍼스,1982,소재,호남권,무안군,34.910382,126.436177
18,Campus,Camp018,국립부경대_대연캠퍼스,1996,소재,영남권,부산,35.134014,129.103131
19,Campus,Camp019,국립순천대_본교,1935,소재,호남권,순천시,34.968764,127.480225
20,Campus,Camp020,국립창원대_창원캠퍼스,1983,소재,영남권,창원시,35.245593,128.691959
21,Campus,Camp021,국립한밭대_유성덕명캠퍼스,1994,소재,충청권,대전,36.350921,127.301072
22,Campus,Camp022,국민대_본교,1971,소재,수도권,서울,37.610875,126.997288
23,Campus,Camp023,단국대_천안캠퍼스,1978,부재,충청권,천안시,36.834635,127.166614
24,Campus,Camp024,대진대_본교,1992,소재,수도권,포천시,37.871415,127.156652
25,Campus,Camp025,덕성여자대_쌍문캠퍼스,1979,소재,수도권,서울,37.651315,127.016508
26,Campus,Camp026,동국대_서울캠퍼스,1947,소재,수도권,서울,37.558313,127.000189
27,Campus,Camp027,동국대_WISE캠퍼스,1978,부재,영남권,경주시,35.862283,129.195102
28,Campus,Camp028,동덕여자대_본교,1967,소재,수도권,서울,37.606376,127.041834
29,Campus,Camp029,동서대_주례캠퍼스,1992,소재,영남권,부산,35.146117,129.007021
30,Campus,Camp030,동아대_부민캠퍼스,2003,부재,영남권,부산,35.104791,129.018843
31,Campus,Camp031,동의대_가야캠퍼스,1977,소재,영남권,부산,35.141514,129.033534
32,Campus,Camp032,명지대_인문캠퍼스,1969,소재,수도권,서울,37.580247,126.922589
33,Campus,Camp033,부산대_부산캠퍼스,1954,소재,영남권,부산,35.234563,129.080460
34,Campus,Camp034,부산외국어대_본교,2014,소재,영남권,부산,35.267458,129.078751
35,Campus,Camp035,삼육대_본교,1949,소재,수도권,서울,37.642491,127.106518
36,Campus,Camp036,상명대_천안캠퍼스,1985,부재,충청권,천안시,36.833661,127.179198
37,Campus,Camp037,서강대_본교,1960,소재,수도권,서울,37.550961,126.940916
38,Campus,Camp038,서울대_관악캠퍼스,1975,소재,수도권,서울,37.464933,126.957202
39,Campus,Camp039,서울시립대_본교,1937,소재,수도권,서울,37.583849,127.058799
40,Campus,Camp040,서울신학대_본교,1974,소재,수도권,부천,37.479467,126.788997
41,Campus,Camp041,서울여자대_본교,1961,소재,수도권,서울,37.628155,127.090510
42,Campus,Camp042,선문대_아산캠퍼스,1990,소재,충청권,아산시,36.798976,127.074981
43,Campus,Camp043,성결대_본교,1975,소재,수도권,안양,37.379357,126.928164
44,Campus,Camp044,성공회대_본교,1957,소재,수도권,서울,37.487752,126.825168
45,Campus,Camp045,성균관대_인문사회과학캠퍼스,1398,소재,수도권,서울,37.588218,126.993600
46,Campus,Camp046,성신여자대_돈암수정캠퍼스,1944,소재,수도권,서울,37.591800,127.022248
47,Campus,Camp047,세명대_본교,1991,소재,충청권,제천시,37.173257,128.194428
48,Campus,Camp048,수원대_본교,1982,소재,수도권,화성시,37.209227,126.976926
49,Campus,Camp049,숙명여자대_본교,1939,소재,수도권,서울,37.546522,126.964685
50,Campus,Camp050,순천향대_본교,1978,소재,충청권,아산시,36.768303,126.933220
51,Campus,Camp051,숭실대_본교,1957,소재,수도권,서울,37.496359,126.957200
52,Campus,Camp052,안양대_안양캠퍼스,1980,소재,수도권,안양시,37.392176,126.920597
53,Campus,Camp053,연세대_신촌캠퍼스,1957,소재,수도권,서울,37.566436,126.938717
54,Campus,Camp054,영남대_경산캠퍼스,1972,소재,영남권,경산시,35.832863,128.757593
55,Campus,Camp055,용인대_본교,1985,소재,수도권,용인시,37.226797,127.168228
56,Campus,Camp056,울산대_본교,1970,소재,영남권,울산,35.543798,129.256240
57,Campus,Camp057,이화여자대_신촌캠퍼스,1935,소재,수도권,서울,37.561926,126.946828
58,Campus,Camp058,인천대_송도캠퍼스,2009,소재,수도권,인천,37.375047,126.632165
59,Campus,Camp059,인하대_용현캠퍼스,1954,소재,수도권,인천,37.450005,126.653509
60,Campus,Camp060,전남대_광주캠퍼스,1909,소재,호남권,광주,35.175579,126.907127
61,Campus,Camp061,전남대_여수캠퍼스,2006,부재,호남권,여수시,34.774865,127.699469
62,Campus,Camp062,전북대_전주캠퍼스,1954,소재,호남권,전주시,35.846887,127.130008
63,Campus,Camp063,전주대_본교,1981,소재,호남권,전주시,35.813888,127.090107
64,Campus,Camp064,제주대_아라캠퍼스,1979,소재,제주권,제주시,33.455934,126.562047
65,Campus,Camp065,조선대_본교,1946,소재,호남권,광주,35.141482,126.932104
66,Campus,Camp066,중앙대_서울캠퍼스,1938,소재,수도권,서울,37.504582,126.956863
67,Campus,Camp067,창신대_본교,2003,소재,영남권,창원시,35.244970,128.599948
68,Campus,Camp068,충남대_대덕캠퍼스,1978,소재,충청권,대전,36.366961,127.346536
69,Campus,Camp069,충북대_개신캠퍼스,1956,소재,충청권,청주시,36.628097,127.456317
70,Campus,Camp070,평택대_본교,1981,소재,수도권,평택시,36.994868,127.132923
71,Campus,Camp071,한국교원대_본교,1984,소재,충청권,청주시,36.608420,127.358209
72,Campus,Camp072,국립한국교통대_충주캠퍼스,2012,소재,충청권,충주시,36.969827,127.871726
73,Campus,Camp073,한국외국어대_서울캠퍼스,1957,소재,수도권,서울,37.597438,127.058806
74,Campus,Camp074,한남대_오정캠퍼스,1959,소재,충청권,대전,36.354660,127.421017
75,Campus,Camp075,한림대_본교,1982,소재,강원권,춘천시,37.883953,127.737815
76,Campus,Camp076,한서대_서산캠퍼스,1991,소재,충청권,서산시,36.690749,126.584718
77,Campus,Camp077,한세대_본교,1979,소재,수도권,군포시,37.346908,126.952387
78,Campus,Camp078,한신대_경기캠퍼스,1980,소재,수도권,오산시,37.193337,127.022599
79,Campus,Camp079,한양대_서울캠퍼스,1953,소재,수도권,서울,37.557176,127.045431
80,Campus,Camp080,협성대_본교,1988,소재,수도권,화성시,37.213297,126.953330
81,Campus,Camp081,호서대_천안캠퍼스,1978,부재,충청권,천안시,36.827936,127.183352
