no,class,id,curriumYear,grade,semester,credit,type,sortA,sortB,sortC,sortD,name,categoryA,categoryB,description,descriptionSource,descriptionSourceURL,referenceChannel,referenceMedia,referenceURL,note,previousDescription
1,Course,Cour0001,2025,1,1,1,기타,,교양,,기초,인성세미나,기타,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
2,Course,Cour0002,2025,1,1,1,기타,,교양,,기초,CollegeEnglishⅠ,어학,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
3,Course,Cour0003,2025,1,1,2,기타,,교양,,기초,인문사회글쓰기,기타,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
4,Course,Cour0004,2025,1,1,2,기타,,교양,,기초,AI중심세상,기술,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
5,Course,Cour0005,2025,1,1,2,기타,,교양,,,융합교양,기타,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
6,Course,Cour0006,2025,1,1,2,기타,,교양,,,융합교양,기타,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
7,Course,Cour0007,2025,1,1,2,기타,,교양,,,융합교양,기타,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
8,Course,Cour0008,2025,1,1,3,중국,,교양,,,기초생활중국어,어학,,일상생활에서 활동할 수 있는 기초 중국어 회화 능력을 배양하는 교과목으로 실생활에서 빈번하게 접하는 대화 상황을 바탕으로 기본 표현과 문법을 익히 자연스러운 의사소통을 실현해 나간다.,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
9,Course,Cour0009,2025,1,1,3,중국,,교양,,,기초한자와고사성어,어학,,"중국어 문해력의 기초를 다지는 교과목으로, 필수 한자와 고사성어를 학습한다. 한자의 구성 원리와 의미를 체계적으로 익히고, 일상에서 자주 사용하는 고사성어를 통해 중국 문화의 뿌리와 역사를 이해하는 데 중점을 둔다.",대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
10,Course,Cour0010,2025,1,1,3,기타,,교양,,,문화콘텐츠분석과상상력,문화,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
11,Course,Cour0011,2025,1,1,3,기타,,교양,,,한국어학의이해,어학,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
12,Course,Cour0012,2025,1,1,3,기타,,교양,,,LanguageandCulture,문화,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
13,Course,Cour0013,2025,1,1,3,기타,,교양,,,영미문학의이해,문학,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
14,Course,Cour0014,2025,1,1,3,기타,,교양,,,기초일본어,어학,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
15,Course,Cour0015,2025,1,1,3,기타,,교양,,,일본의이해,사회,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
16,Course,Cour0016,2025,1,1,3,기타,,교양,,,기초독일어,어학,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
17,Course,Cour0017,2025,1,1,3,기타,,교양,,,기초프랑스어,어학,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
18,Course,Cour0018,2025,1,1,3,기타,,교양,,,유럽의문화와예술,문화,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
19,Course,Cour0019,2025,1,2,1,기타,,교양,,기초,창의NTree,기타,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
20,Course,Cour0020,2025,1,2,1,기타,,교양,,기초,CollegeEnglishⅡ,어학,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
21,Course,Cour0021,2025,1,2,2,기타,,교양,,기초,인성과리더십,기타,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
22,Course,Cour0022,2025,1,2,2,기타,,교양,,기초,AI프로그래밍입문,기술,,,,,대학홈페이지,대학요람,https://ibook.gachon.ac.kr/Viewer/QBAKA66UUZ37,,
