no,class,id,name,sort,eYear,homepageURL
1,Major,Majo001,강원대_중어중문학전공,어문학,1985,https://chinese.kangwon.ac.kr/chinese/index.do
2,Major,Majo002,경기대_중어중문전공,어문학,1984,https://www.kyonggi.ac.kr/u_chinese/index.do
3,Major,Majo003,고려대_중국학전공,중국학,1980,https://sejong.korea.ac.kr/sites/gchina/index.do
4,Major,Majo004,국립목포대_동아시아문화전공,중국학,1985,https://mnueastasia.mokpo.ac.kr/sites/mnueastasia/index.do
5,Major,Majo005,국립순천대_글로벌중국학전공,중국학,1989,https://www.scnu.ac.kr/china/main.do
6,Major,Majo006,국민대_중국어문전공,어문학,1973,https://cha.kookmin.ac.kr/china/intro
7,Major,Majo007,국민대_중국정경전공,중국학,개설 정보 없음,https://seais.kookmin.ac.kr/SEAIS/intro/china.do
8,Major,Majo008,단국대_중국학전공,중국학,1981,https://cms.dankook.ac.kr/web/china
9,Major,Majo009,대진대_중국학전공,중국학,1996,https://china.daejin.ac.kr/sites/china/index.do
10,Major,Majo010,덕성여자대_중어중문학전공,어문학,1989,https://www.duksung.ac.kr/chinese/main.do
11,Major,Majo011,동덕여자대_중어중국학전공,중국학,1994,https://ddchinese.dongduk.ac.kr/
12,Major,Majo012,명지대_중어중문학전공,어문학,1980,https://cll.mju.ac.kr/cll/index.do
13,Major,Majo013,부산외국어대_중국어전공,언어학,1981,https://www.bufs.ac.kr/bbs/board.php?bo_table=china_introduce
14,Major,Majo014,부산외국어대_중국지역통상전공,통상학,2006,https://www.bufs.ac.kr/bbs/board.php?bo_table=china_introduce
15,Major,Majo015,삼육대_동양어문화전공,어문학,2020,https://www.syu.ac.kr/atfl/
16,Major,Majo016,상명대_중국어권지역학전공,중국학,1989,https://smuchina.smu.ac.kr/smuchina/index.do
17,Major,Majo017,선문대_중국어문화전공,"어문학, 중국학",1993,https://uem.sunmoon.ac.kr/china/main.do
18,Major,Majo018,성공회대_중어중국학전공,"어문학, 중국학",1998,https://www.skhu.ac.kr/doh2024/4770/subview.do
19,Major,Majo019,세명대_중국언어문화전공,어문학,1992,https://www.semyung.ac.kr/glcc/sub01_08_02.do
20,Major,Majo020,수원대_중국언어문화,어문학,1992,https://uswchinese.modoo.ro/
21,Major,Majo021,영남대_응용중국어통번역전공,언어학,2007,https://trans.yu.ac.kr/trans/index.do
22,Major,Majo022,전남대_중국학전공,중국학,1998,https://china99.jnu.ac.kr/china99/index.do
23,Major,Majo023,조선대_중국어문화학전공,어문학,1980,https://asia.chosun.ac.kr/asia/1957/subview.do
24,Major,Majo024,중앙대_중국어문학전공,어문학,1980,https://ccll.cau.ac.kr/
25,Major,Majo025,평택대_중국학전공,중국학,1997,https://www.ptu.ac.kr/www/619/subview.do
26,Major,Majo026,한국외국어대_중국언어문화전공,어문학,1954,https://chufs1.hufs.ac.kr/sites/chufs/index.do
27,Major,Majo027,한국외국어대_차이나데이터큐레이션전공,콘텐츠학,2022,https://chufs1.hufs.ac.kr/sites/chufs/index.do
28,Major,Majo028,한국외국어대_중국외교통상전공,통상학,1954,https://chufs2.hufs.ac.kr/sites/chufs2/index.do
29,Major,Majo029,한국외국어대_중국어교육전공,교육학,2016,https://cle.hufs.ac.kr/cle/index.do
30,Major,Majo030,한신대_중국어문전공,어문학,개설 정보 없음,https://www.hs.ac.kr/chinese/index.do
31,Major,Majo031,한신대_한중콘텐츠전공,콘텐츠학,개설 정보 없음,https://www.hs.ac.kr/sites/kccc/index.do
32,Major,Majo032,서강대_문화학전공,어문학,1993,https://china.sogang.ac.kr/china/index_new.html
33,Major,Majo033,서강대_지역학전공,중국학,1993,https://china.sogang.ac.kr/china/index_new.html
