no,class,id,name,wideField,detailedField
1,Professor,Prof001,○○○,중문학,중국문화학;중국현대문학
2,Professor,Prof002,○○○,중국어학,의미론
3,Professor,Prof003,○○○,중문학,문학비평;중국고전문학
4,Professor,Prof004,○○○,중국어학,의미론
5,Professor,Prof005,○○○,중문학,중국고전문학;중국시
6,Professor,Prof006,○○○,중문학,중국현대문학
7,Professor,Prof007,○○○,중국어학,일반문자학;응용언어학
8,Professor,Prof008,○○○,중국어학,기타중국어학;음성/음운론
9,Professor,Prof009,○○○,중문학,중국현대문학;중국시;중국문화학
10,Professor,Prof010,○○○,중문학,중국고전문학;중국시
11,Professor,Prof011,○○○,중국어교육,중국어교육
12,Professor,Prof012,○○○,중문학,중국고전문학
13,Professor,Prof013,○○○,중문학,중국현대문학
14,Professor,Prof014,○○○,중국어학,일반문자학;통사론;기타중국어학
15,Professor,Prof015,○○○,중문학,중국문화학
16,Professor,Prof016,○○○,중국어학,중국어사;고문자학;통사론;기타중국어학
17,Professor,Prof017,○○○,중문학,중국산문;중국고전문학;중국서지학
18,Professor,Prof018,○○○,중국어교육;중국어학,중국어교육;통사론;기타중국어학
19,Professor,Prof019,○○○,중문학;기타,중국소설;중국고전문학;비교문학;도교
20,Professor,Prof020,○○○,중문학,중국시
21,Professor,Prof021,○○○,중문학;역사일반,기타중문학;사상사
22,Professor,Prof022,○○○,중문학,중국현대문학;중국문화학
23,Professor,Prof023,○○○,중문학,중국고전문학;비교문학
24,Professor,Prof024,○○○,중국어학,기타중국어학;통사론
25,Professor,Prof025,○○○,중국어학,고문자학
26,Professor,Prof026,○○○,중국어학,음성/음운론
27,Professor,Prof027,○○○,중문학,중국현대문학
28,Professor,Prof028,○○○,중문학,중국희곡
29,Professor,Prof029,○○○,중문학,중국현대문학;중국문화학
30,Professor,Prof030,○○○,중문학,중국고전문학;중국소설
31,Professor,Prof031,○○○,중국어학,음성/음운론
32,Professor,Prof032,○○○,중문학;역사일반,중국고전문학;기타중문학;사상사
33,Professor,Prof033,○○○,정치지역학,외교/안보/통일
34,Professor,Prof034,○○○,중문학,중국현대문학;중국소설
35,Professor,Prof035,○○○,중국어학,고문자학;기타중국어학
36,Professor,Prof036,○○○,중국어학,사회언어학;기타중국어학
37,Professor,Prof037,○○○,중국어학,음성/음운론
38,Professor,Prof038,○○○,중문학,중국현대문학
39,Professor,Prof039,○○○,중문학,중국고전문학;중국시
40,Professor,Prof040,○○○,중문학,중국소설;중국문화학;비교문학
41,Professor,Prof041,○○○,영화;중문학,동양/아시아영화;중국문화학
42,Professor,Prof042,○○○,중국어학,기타중국어학
43,Professor,Prof043,○○○,중국어학;중국어교육,기타중국어학;중국어교육;통사론
44,Professor,Prof044,○○○,중국어학,음성/음운론;기타중국어학
45,Professor,Prof045,○○○,중문학,중국고전문학;중국시;기타중문학
46,Professor,Prof046,○○○,중국어학,일반문자학
47,Professor,Prof047,○○○,중국어학,통사론
48,Professor,Prof048,○○○,중국어학,응용언어학
49,Professor,Prof049,○○○,중문학;기타,중국현대문학;기타인문학
50,Professor,Prof050,○○○,중국어학,중국어사;통사론
51,Professor,Prof051,○○○,중국어학,통사론
52,Professor,Prof052,○○○,중문학,중국희곡
53,Professor,Prof053,○○○,중문학,기타중문학
54,Professor,Prof054,○○○,역사일반;중문학,사상사;중국문화학
55,Professor,Prof055,○○○,정치지역학;중국학,기타정치외교학;중국
56,Professor,Prof056,○○○,중문학,중국현대문학;비교문학
57,Professor,Prof057,○○○,중국어학,통사론
58,Professor,Prof058,○○○,중문학,비교문학
59,Professor,Prof059,○○○,중국어학;중문학,고문자학;중국문화학
60,Professor,Prof060,○○○,중문학;영화,중국현대문학;중국문화학;동양/아시아영화;기타중문학
61,Professor,Prof061,○○○,중문학,중국소설;중국문화학;기타중문학
62,Professor,Prof062,○○○,중문학,중국고전문학
63,Professor,Prof063,○○○,중국어학,음성/음운론
64,Professor,Prof064,○○○,중국어학,음성/음운론;응용언어학
65,Professor,Prof065,○○○,중문학,기타중문학
66,Professor,Prof066,○○○,중문학,중국시;중국고전문학
67,Professor,Prof067,○○○,중문학,비교문학
68,Professor,Prof068,○○○,중국어학,의미론
69,Professor,Prof069,○○○,중문학,중국현대문학
70,Professor,Prof070,○○○,중국어학,음성/음운론;일반문자학
71,Professor,Prof071,○○○,중문학,기타중문학
72,Professor,Prof072,○○○,중문학,중국고전문학
73,Professor,Prof073,○○○,중국어학,통사론
74,Professor,Prof074,○○○,중문학,중국현대문학;중국문화학
75,Professor,Prof075,○○○,중문학,중국고전문학;기타중문학
76,Professor,Prof076,○○○,기타,복합학;학제간연구
77,Professor,Prof077,○○○,중문학,중국시;중국고전문학
78,Professor,Prof078,○○○,중문학,중국시
79,Professor,Prof079,○○○,중국어학,기타중국어학
80,Professor,Prof080,○○○,중문학,비교문학
81,Professor,Prof081,○○○,중문학,중국현대문학
82,Professor,Prof082,○○○,중문학,중국산문;중국고전문학
83,Professor,Prof083,○○○,중문학,중국시;중국고전문학
84,Professor,Prof084,○○○,중국어학,일반문자학
85,Professor,Prof085,○○○,중국어학,중국어사;통사론
86,Professor,Prof086,○○○,경제경영;중국학,국제/세계경제;중국
87,Professor,Prof087,○○○,역사일반;철학사상,중국근세사(명청);중국철학
88,Professor,Prof088,○○○,중국어학,어휘학;기타중국어학
89,Professor,Prof089,○○○,중국어학,기타중국어학;대조언어
90,Professor,Prof090,○○○,중국학,중국
91,Professor,Prof091,○○○,중국어학,고문자학
92,Professor,Prof092,○○○,중국어학,통사론;기타중국어학
93,Professor,Prof093,○○○,중국어학;중국어교육,일반문자학;기타중국어학;중국어교육
94,Professor,Prof094,○○○,중문학;중국어교육,중국산문;중국고전문학;기타중문학;중국어교육
95,Professor,Prof095,○○○,중문학,중국현대문학;비교문학
96,Professor,Prof096,○○○,중문학;영화,중국소설;중국현대문학;중국문화학;동양/아시아영화
97,Professor,Prof097,○○○,통역번역학;중국어학;중국어교육,통역번역;기타중국어학;중국어교육
98,Professor,Prof098,○○○,중문학,중국소설;중국현대문학
99,Professor,Prof099,○○○,중문학,중국희곡;중국소설;중국문화학;기타중문학;중국현대문학;중국고전문학
100,Professor,Prof100,○○○,중국어학;중국어교육,통사론;기타중국어학;중국어교육
101,Professor,Prof101,○○○,중문학,중국현대문학;중국문화학
102,Professor,Prof102,○○○,중문학,중국고전문학
103,Professor,Prof103,○○○,중국어학;기타,기타중국어학;역사언어학
104,Professor,Prof104,○○○,중문학,중국고전문학;중국소설;기타중문학
105,Professor,Prof105,○○○,중국어학,중국어사;기타중국어학
106,Professor,Prof106,○○○,중문학,중국현대문학
107,Professor,Prof107,○○○,중문학,중국소설;기타중문학
108,Professor,Prof108,○○○,중문학,중국소설;기타중문학
109,Professor,Prof109,○○○,중국어학,일반문자학;기타중국어학
110,Professor,Prof110,○○○,중문학,중국소설;중국현대문학;중국문화학
111,Professor,Prof111,○○○,중국어학,음성/음운론
112,Professor,Prof112,○○○,중국어교육,중국어교육
113,Professor,Prof113,○○○,중국어학,통사론
114,Professor,Prof114,○○○,중문학,중국희곡
115,Professor,Prof115,○○○,중문학,기타중문학
116,Professor,Prof116,○○○,중문학,중국희곡
117,Professor,Prof117,○○○,중문학;영화,중국현대문학;중국문화학;동양/아시아영화;기타중문학
118,Professor,Prof118,○○○,중국어학,중국어사
119,Professor,Prof119,○○○,중문학,중국희곡
120,Professor,Prof120,○○○,중국어학,중국어사
121,Professor,Prof121,○○○,중문학,중국현대문학;중국문화학
122,Professor,Prof122,○○○,중국어학,응용언어학
123,Professor,Prof123,○○○,중국어학;통역번역학,응용언어학;통역번역
124,Professor,Prof124,○○○,중국어교육,중국어교육
125,Professor,Prof125,○○○,중국어학,통사론
126,Professor,Prof126,○○○,중문학,중국고전문학
127,Professor,Prof127,○○○,중문학,중국현대문학
128,Professor,Prof128,○○○,중국어학,음성/음운론
129,Professor,Prof129,○○○,중문학,중국소설;중국고전문학
130,Professor,Prof130,○○○,중문학,중국현대문학
131,Professor,Prof131,○○○,중문학,중국고전문학;중국문화학;기타중문학
132,Professor,Prof132,○○○,중국학,중국
133,Professor,Prof133,○○○,중국어학;중국어교육,통사론;중국어교육;기타중국어학
134,Professor,Prof134,○○○,중국학,중국
135,Professor,Prof135,○○○,중국학,중국
136,Professor,Prof136,○○○,중국어학,일반문자학
137,Professor,Prof137,○○○,중문학,중국고전문학;기타중문학
138,Professor,Prof138,○○○,중국어교육;기타,중국어교육;일반언어학
139,Professor,Prof139,○○○,중국어학;중국어교육,통사론;중국어교육
140,Professor,Prof140,○○○,중국어학,통사론
141,Professor,Prof141,○○○,중문학,사곡
142,Professor,Prof142,○○○,중국어학,고문자학
143,Professor,Prof143,○○○,중문학,중국소설;중국고전문학
144,Professor,Prof144,○○○,중문학,중국현대문학
145,Professor,Prof145,○○○,중문학,중국고전문학;중국시
146,Professor,Prof146,○○○,중문학,중국고전문학;기타중문학
147,Professor,Prof147,○○○,중문학,중국현대문학
148,Professor,Prof148,○○○,중국어학,통사론;응용언어학;기타중국어학;코퍼스
149,Professor,Prof149,○○○,중문학,중국문화학;기타중문학
150,Professor,Prof150,○○○,중문학,중국시;중국고전문학
151,Professor,Prof151,○○○,중문학,중국소설;중국현대문학;중국시
152,Professor,Prof152,○○○,중국어학,고문자학
153,Professor,Prof153,○○○,중국어학,기타중국어학
154,Professor,Prof154,○○○,중문학,기타중문학
155,Professor,Prof155,○○○,중국어학,기타중국어학
156,Professor,Prof156,○○○,중문학,중국시
157,Professor,Prof157,○○○,중문학,중국소설;중국고전문학
158,Professor,Prof158,○○○,중국어학,성운학
